trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
26,BTCUSD,bullish,fvg_retest,100.0,2026-03-15 14:45:00+00:00,71746.82,71577.36,71999.46,0.57,2026-03-15 15:30:00+00:00,71577.36,sl_hit,-96.59220000000364,-1.0,3.9899999999999998
27,BTCUSD,bullish,fvg_retest,100.0,2026-03-15 16:30:00+00:00,71517.58,71353.65,71757.325,0.58,2026-03-15 16:30:00+00:00,71353.65,sl_hit,-95.07940000000438,-1.0,4.06
28,BTCUSD,bullish,fvg_retest,100.0,2026-03-15 17:00:00+00:00,71600.34,71353.65,71975.075,0.38,2026-03-15 17:30:00+00:00,71353.65,sl_hit,-93.74220000000089,-1.0,2.66
29,BTCUSD,bullish,fvg_retest,100.0,2026-03-15 18:00:00+00:00,71623.76,71353.65,72017.875,0.35,2026-03-15 19:15:00+00:00,71353.65,sl_hit,-94.5385000000002,-1.0,2.4499999999999997
30,BTCUSD,bullish,fvg_retest,100.0,2026-03-16 01:00:00+00:00,72109.09,71799.27,72565.645,0.3,2026-03-16 01:00:00+00:00,71799.27,sl_hit,-92.94599999999772,-1.0,2.1
31,BTCUSD,bullish,ob_retest,100.0,2026-03-16 01:45:00+00:00,72383.22,71758.75,73314.9,0.15,2026-03-16 06:30:00+00:00,73314.9,tp_hit,139.75199999999896,1.491953176293483,1.05
32,BTCUSD,bullish,fvg_retest,80.0,2026-03-16 06:45:00+00:00,73768.39,72578.38,75546.03,0.08,2026-03-17 04:00:00+00:00,75546.03,tp_hit,142.21119999999996,1.4938025730876272,0.56
33,BTCUSD,bullish,fvg_retest,80.0,2026-03-17 04:30:00+00:00,75929.35,75311.0,76853.7,0.15,2026-03-17 05:00:00+00:00,75311.0,sl_hit,-92.75250000000086,-1.0,1.05
34,BTCUSD,bullish,fvg_retest,100.0,2026-03-17 10:30:00+00:00,74401.92,74093.26,74864.185,0.3,2026-03-17 12:00:00+00:00,74093.26,sl_hit,-92.59800000000105,-1.0,2.1
35,BTCUSD,bullish,fvg_retest,100.0,2026-03-17 13:30:00+00:00,73746.55,73480.31,74142.51,0.35,2026-03-17 14:45:00+00:00,74142.51,tp_hit,138.58599999999714,1.4872295673076323,2.4499999999999997
36,BTCUSD,bullish,fvg_retest,100.0,2026-03-17 15:45:00+00:00,73834.98,73772.9,73926.75,1.51,2026-03-17 15:45:00+00:00,73772.9,sl_hit,-93.74080000000264,-1.0,10.57
37,BTCUSD,bullish,fvg_retest,100.0,2026-03-17 17:15:00+00:00,73711.51,73480.31,74053.11,0.4,2026-03-17 17:30:00+00:00,74053.11,tp_hit,136.64000000000235,1.4775086505190749,2.8000000000000003
38,BTCUSD,bullish,fvg_retest,100.0,2026-03-17 18:00:00+00:00,74373.73,73925.41,75041.185,0.21,2026-03-17 18:30:00+00:00,73925.41,sl_hit,-94.1471999999984,-1.0,1.47
39,BTCUSD,bullish,fvg_retest,100.0,2026-03-17 19:00:00+00:00,73908.06,73793.76,74075.56,0.81,2026-03-17 19:00:00+00:00,74075.56,tp_hit,135.675,1.4654418197724912,5.67
40,BTCUSD,bullish,fvg_retest,100.0,2026-03-17 19:15:00+00:00,73962.11,73793.76,74209.535,0.56,2026-03-17 19:15:00+00:00,74209.535,tp_hit,138.55800000000164,1.4697059697059363,3.9200000000000004
41,BTCUSD,bullish,fvg_retest,85.0,2026-03-18 03:15:00+00:00,73985.52,73793.76,74265.135,0.5,2026-03-18 03:15:00+00:00,73793.76,sl_hit,-95.88000000000466,-1.0,3.5
42,BTCUSD,bullish,fvg_retest,85.0,2026-03-18 11:30:00+00:00,74032.61,73902.75,74222.5,0.73,2026-03-18 12:30:00+00:00,74222.5,tp_hit,138.61969999999957,1.4622670568304217,5.109999999999999
43,BTCUSD,bullish,fvg_retest,85.0,2026-03-18 15:30:00+00:00,72808.67,72578.38,73147.805,0.42,2026-03-18 15:30:00+00:00,72578.38,sl_hit,-96.7217999999973,-1.0,2.94
44,BTCUSD,bullish,fvg_retest,90.0,2026-03-18 16:30:00+00:00,72466.87,71958.96,73223.735,0.19,2026-03-18 17:00:00+00:00,71958.96,sl_hit,-96.5028999999979,-1.0,1.33
45,BTCUSD,bullish,fvg_retest,85.0,2026-03-18 18:30:00+00:00,71285.72,71037.34,71653.29,0.38,2026-03-18 19:30:00+00:00,71037.34,sl_hit,-94.38440000000178,-1.0,2.66
46,BTCUSD,bullish,fvg_retest,85.0,2026-03-18 19:45:00+00:00,71274.87,71037.34,71625.865,0.39,2026-03-18 20:30:00+00:00,71625.865,tp_hit,136.88805000000386,1.4776870290069113,2.73
47,BTCUSD,bullish,fvg_retest,85.0,2026-03-18 21:00:00+00:00,71582.07,71501.56,71710.56,1.17,2026-03-18 21:00:00+00:00,71710.56,tp_hit,150.3332999999891,1.595950813563232,8.19
48,BTCUSD,bullish,fvg_retest,85.0,2026-03-18 22:15:00+00:00,71324.51,71037.34,71750.34,0.33,2026-03-18 22:30:00+00:00,71037.34,sl_hit,-94.76609999999943,-1.0,2.31
49,BTCUSD,bullish,fvg_retest,85.0,2026-03-18 23:00:00+00:00,71049.46,71037.34,71088.115,7.82,2026-03-18 23:00:00+00:00,71037.34,sl_hit,-94.77840000007738,-1.0,54.74
50,BTCUSD,bullish,fvg_retest,65.0,2026-03-18 23:45:00+00:00,71162.7,71037.34,71345.665,0.74,2026-03-19 00:00:00+00:00,71345.665,tp_hit,135.39409999999742,1.4595165922143878,5.18
51,BTCUSD,bullish,fvg_retest,65.0,2026-03-19 04:30:00+00:00,71068.6,70805.85,71459.625,0.36,2026-03-19 06:15:00+00:00,71459.625,tp_hit,140.7689999999979,1.4882017126545926,2.52
52,BTCUSD,bullish,fvg_retest,65.0,2026-03-19 08:00:00+00:00,70818.52,70805.85,70833.525,7.57,2026-03-19 08:00:00+00:00,70805.85,sl_hit,-95.91189999998679,-1.0,52.99
53,BTCUSD,bullish,fvg_retest,65.0,2026-03-19 08:45:00+00:00,70781.36,70733.32,70844.145,1.97,2026-03-19 08:45:00+00:00,70733.32,sl_hit,-94.63879999998738,-1.0,13.79
54,BTCUSD,bullish,fvg_retest,65.0,2026-03-19 09:00:00+00:00,70824.64,70805.85,70847.65,4.97,2026-03-19 09:00:00+00:00,70805.85,sl_hit,-93.38629999996817,-1.0,34.79
55,BTCUSD,bullish,fvg_retest,65.0,2026-03-19 18:15:00+00:00,69697.95,69355.82,70196.345,0.27,2026-03-19 18:15:00+00:00,69355.82,sl_hit,-92.37509999999733,-1.0,1.8900000000000001
56,BTCUSD,bullish,fvg_retest,65.0,2026-03-19 19:00:00+00:00,69406.01,68686.61,70477.46,0.13,2026-03-19 22:00:00+00:00,70477.46,tp_hit,139.2885000000015,1.4893661384487356,0.91
57,BTCUSD,bullish,fvg_retest,65.0,2026-03-19 22:15:00+00:00,70349.84,69744.26,71254.435,0.15,2026-03-20 02:30:00+00:00,69744.26,sl_hit,-90.83700000000026,-1.0,1.05
58,BTCUSD,bullish,fvg_retest,65.0,2026-03-20 08:45:00+00:00,70680.61,70489.11,70989.185,0.48,2026-03-20 09:00:00+00:00,70489.11,sl_hit,-91.92,-1.0,3.36
59,BTCUSD,bullish,ob_fvg,90.0,2026-03-20 11:15:00+00:00,71251.55,70805.87,71907.07,0.2,2026-03-20 12:15:00+00:00,70805.87,sl_hit,-89.13600000000152,-1.0,1.4000000000000001
