trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
12,XAUUSD,bullish,fvg_retest,60.0,2026-08-13 05:45:00+00:00,4410.53,4405.77,4417.17,0.21,2026-08-13 05:45:00+00:00,4405.77,sl_hit,-0.9995999999998548,-1.0,1.47
13,XAUUSD,bullish,fvg_retest,60.0,2026-08-13 07:30:00+00:00,4398.34,4390.28,4409.93,0.12,2026-08-13 08:30:00+00:00,4390.28,sl_hit,-0.967200000000048,-1.0,0.84
14,XAUUSD,bullish,fvg_retest,60.0,2026-08-13 10:00:00+00:00,4381.11,4371.59,4394.89,0.1,2026-08-13 10:45:00+00:00,4371.59,sl_hit,-0.9519999999999528,-1.0,0.7000000000000001
15,XAUUSD,bullish,fvg_retest,60.0,2026-08-17 08:30:00+00:00,4399.639999999999,4379.28,4429.53,0.05,2026-08-17 15:30:00+00:00,4379.28,sl_hit,-1.0179999999999836,-1.0,0.35000000000000003
16,XAUUSD,bullish,fvg_retest,65.0,2026-08-18 05:30:00+00:00,4402.5199999999995,4391.71,4418.21,0.09,2026-08-18 06:45:00+00:00,4391.71,sl_hit,-0.9728999999999541,-1.0,0.63
17,XAUUSD,bullish,fvg_retest,65.0,2026-08-20 09:00:00+00:00,4481.45,4475.19,4490.29,0.16,2026-08-20 09:00:00+00:00,4490.29,tp_hit,1.4144000000000234,1.4121405750798461,1.12
18,XAUUSD,bullish,fvg_retest,65.0,2026-08-20 09:15:00+00:00,4492.95,4475.19,4519.09,0.06,2026-08-20 14:30:00+00:00,4475.19,sl_hit,-1.065600000000013,-1.0,0.42
19,XAUUSD,bullish,fvg_retest,65.0,2026-08-21 05:30:00+00:00,4527.51,4513.77,4547.42,0.07,2026-08-21 07:30:00+00:00,4547.42,tp_hit,1.39369999999999,1.449053857350813,0.49000000000000005
20,XAUUSD,bullish,fvg_retest,65.0,2026-08-21 16:15:00+00:00,4585.24,4567.76,4610.635,0.06,2026-08-21 18:45:00+00:00,4610.635,tp_hit,1.523700000000026,1.4528032036613885,0.42
21,XAUUSD,bullish,fvg_retest,80.0,2026-08-24 05:00:00+00:00,4632.38,4608.54,4667.765,0.04,2026-08-24 14:30:00+00:00,4667.765,tp_hit,1.4154000000000087,1.484270134228188,0.28
22,XAUUSD,bullish,fvg_retest,60.0,2026-08-24 14:45:00+00:00,4659.11,4640.33,4686.28,0.05,2026-08-24 18:45:00+00:00,4640.33,sl_hit,-0.9389999999999873,-1.0,0.35000000000000003
23,XAUUSD,bullish,fvg_retest,80.0,2026-08-24 21:30:00+00:00,4640.67,4620.85,4669.65,0.05,2026-08-25 02:00:00+00:00,4669.65,tp_hit,1.4489999999999783,1.4621594349142275,0.35000000000000003
24,XAUUSD,bullish,fvg_retest,60.0,2026-08-25 04:45:00+00:00,4670.82,4661.4,4684.45,0.11,2026-08-25 04:45:00+00:00,4661.4,sl_hit,-1.036200000000008,-1.0,0.77
25,XAUUSD,bullish,fvg_retest,80.0,2026-08-25 06:15:00+00:00,4633.94,4620.85,4653.1,0.08,2026-08-25 09:15:00+00:00,4653.1,tp_hit,1.5328000000000612,1.4637127578305487,0.56
26,XAUUSD,bullish,fvg_retest,65.0,2026-08-25 10:15:00+00:00,4640.0,4628.66,4656.535,0.09,2026-08-25 11:00:00+00:00,4628.66,sl_hit,-1.020600000000013,-1.0,0.63
27,XAUUSD,bullish,fvg_retest,65.0,2026-08-25 11:30:00+00:00,4633.09,4620.85,4651.075,0.08,2026-08-25 16:15:00+00:00,4620.85,sl_hit,-0.9791999999999825,-1.0,0.56
28,XAUUSD,bullish,fvg_retest,65.0,2026-08-25 16:45:00+00:00,4612.96,4608.54,4619.065,0.23,2026-08-25 16:45:00+00:00,4608.54,sl_hit,-1.0166000000000168,-1.0,1.61
29,XAUUSD,bullish,fvg_retest,65.0,2026-08-25 17:15:00+00:00,4623.15,4608.54,4644.615,0.07,2026-08-25 18:15:00+00:00,4644.615,tp_hit,1.5025500000000103,1.4691991786448066,0.49000000000000005
30,XAUUSD,bullish,fvg_retest,65.0,2026-08-25 18:30:00+00:00,4640.03,4628.19,4657.265,0.08,2026-08-25 18:30:00+00:00,4657.265,tp_hit,1.3788000000000467,1.455658783783815,0.56
31,XAUUSD,bullish,fvg_retest,65.0,2026-08-25 19:45:00+00:00,4644.179999999999,4637.0,4654.425,0.14,2026-08-25 20:00:00+00:00,4637.0,sl_hit,-1.0051999999999135,-1.0,0.9800000000000001
32,XAUUSD,bullish,fvg_retest,65.0,2026-08-26 01:15:00+00:00,4664.83,4654.79,4679.365,0.1,2026-08-26 02:45:00+00:00,4654.79,sl_hit,-1.0039999999999965,-1.0,0.7000000000000001
33,XAUUSD,bullish,fvg_retest,80.0,2026-08-26 04:15:00+00:00,4644.32,4628.19,4668.015,0.06,2026-08-26 05:30:00+00:00,4668.015,tp_hit,1.421700000000037,1.4690018598884351,0.42
34,XAUUSD,bullish,fvg_retest,80.0,2026-08-26 06:30:00+00:00,4650.38,4646.88,4655.155,0.28,2026-08-26 06:30:00+00:00,4646.88,sl_hit,-0.9800000000000001,-1.0,1.9600000000000002
35,XAUUSD,bullish,fvg_retest,80.0,2026-08-26 08:15:00+00:00,4643.5199999999995,4638.7,4650.25,0.21,2026-08-26 08:30:00+00:00,4638.7,sl_hit,-1.012199999999939,-1.0,1.47
36,XAUUSD,bullish,fvg_retest,80.0,2026-08-26 12:45:00+00:00,4622.24,4608.54,4642.29,0.07,2026-08-26 16:00:00+00:00,4608.54,sl_hit,-0.9589999999999873,-1.0,0.49000000000000005
37,XAUUSD,bullish,fvg_retest,80.0,2026-08-26 16:30:00+00:00,4611.46,4608.54,4615.415,0.34,2026-08-26 16:30:00+00:00,4615.415,tp_hit,1.3446999999999754,1.3544520547944618,2.3800000000000003
38,XAUUSD,bullish,fvg_retest,80.0,2026-08-26 17:00:00+00:00,4631.82,4608.54,4666.165,0.04,2026-08-26 17:45:00+00:00,4608.54,sl_hit,-0.9311999999999898,-1.0,0.28
39,XAUUSD,bullish,fvg_retest,65.0,2026-08-27 02:15:00+00:00,4615.71,4606.45,4629.125,0.11,2026-08-27 03:30:00+00:00,4606.45,sl_hit,-1.018600000000024,-1.0,0.77
