trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
22,XAUUSD,bullish,fvg_retest,80.0,2026-08-12 23:00:00+00:00,4413.98,4410.93,4418.155,0.35,2026-08-12 23:00:00+00:00,4410.93,sl_hit,-106.74999999997452,-1.0,2.4499999999999997
23,XAUUSD,bullish,fvg_retest,80.0,2026-08-12 23:45:00+00:00,4408.15,4406.39,4410.29,0.59,2026-08-13 01:00:00+00:00,4406.39,sl_hit,-103.8399999999592,-1.0,4.13
24,XAUUSD,bullish,fvg_retest,80.0,2026-08-13 01:45:00+00:00,4400.25,4397.12,4404.47,0.33,2026-08-13 02:00:00+00:00,4404.47,tp_hit,139.2600000000084,1.3482428115016318,2.31
25,XAUUSD,bullish,fvg_retest,80.0,2026-08-13 02:30:00+00:00,4408.5,4402.75,4416.675,0.18,2026-08-13 03:00:00+00:00,4416.675,tp_hit,147.15000000000327,1.4217391304348141,1.26
26,XAUUSD,bullish,fvg_retest,80.0,2026-08-13 03:15:00+00:00,4419.34,4410.14,4432.615,0.12,2026-08-13 03:15:00+00:00,4432.615,tp_hit,159.29999999999563,1.4429347826086847,0.84
27,XAUUSD,bullish,fvg_retest,80.0,2026-08-13 03:30:00+00:00,4428.5199999999995,4414.22,4449.445,0.08,2026-08-13 03:30:00+00:00,4449.445,tp_hit,167.40000000000146,1.4632867132868004,0.56
28,XAUUSD,bullish,fvg_retest,80.0,2026-08-13 05:45:00+00:00,4410.53,4405.77,4417.17,0.23,2026-08-13 05:45:00+00:00,4405.77,sl_hit,-109.4799999999841,-1.0,1.61
29,XAUUSD,bullish,fvg_retest,80.0,2026-08-13 07:30:00+00:00,4398.34,4390.28,4409.93,0.13,2026-08-13 08:30:00+00:00,4390.28,sl_hit,-104.7800000000052,-1.0,0.91
30,XAUUSD,bullish,fvg_retest,80.0,2026-08-13 10:00:00+00:00,4381.11,4371.59,4394.89,0.11,2026-08-13 10:45:00+00:00,4371.59,sl_hit,-104.7199999999948,-1.0,0.77
31,XAUUSD,bullish,fvg_retest,80.0,2026-08-13 11:45:00+00:00,4373.7699999999995,4370.31,4378.41,0.31,2026-08-13 11:45:00+00:00,4378.41,tp_hit,143.84000000001015,1.3410404624281786,2.17
32,XAUUSD,bullish,fvg_retest,80.0,2026-08-13 14:00:00+00:00,4392.32,4387.34,4399.265,0.22,2026-08-13 14:30:00+00:00,4387.34,sl_hit,-109.5599999999904,-1.0,1.54
33,XAUUSD,bullish,fvg_retest,80.0,2026-08-13 18:00:00+00:00,4383.849999999999,4377.98,4392.255,0.18,2026-08-13 18:00:00+00:00,4377.98,sl_hit,-105.65999999999802,-1.0,1.26
34,XAUUSD,bullish,fvg_retest,65.0,2026-08-18 01:45:00+00:00,4414.79,4408.36,4423.985,0.16,2026-08-18 02:45:00+00:00,4423.985,tp_hit,147.11999999999534,1.4300155520994235,1.12
35,XAUUSD,bullish,ob_retest,70.0,2026-08-18 03:30:00+00:00,4431.5,4418.84,4450.29,0.08,2026-08-18 04:30:00+00:00,4418.84,sl_hit,-101.27999999999884,-1.0,0.56
