trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
12,XAUUSD,bearish,ob_retest,85.0,2026-06-08 08:45:00+00:00,4287.78,4314.39,4248.39,0.04,2026-06-08 10:15:00+00:00,4314.39,sl_hit,-106.44000000000233,-1.0,0.28
13,XAUUSD,bearish,fvg_retest,80.0,2026-06-08 11:15:00+00:00,4291.570000000001,4301.63,4277.03,0.1,2026-06-08 12:30:00+00:00,4277.03,tp_hit,145.40000000000873,1.4453280318093051,0.7000000000000001
14,XAUUSD,bearish,fvg_retest,100.0,2026-06-08 14:45:00+00:00,4323.83,4339.99,4300.215,0.07,2026-06-08 16:30:00+00:00,4339.99,sl_hit,-113.119999999999,-1.0,0.49000000000000005
15,XAUUSD,bearish,fvg_retest,100.0,2026-06-08 17:00:00+00:00,4326.6900000000005,4339.99,4307.265,0.08,2026-06-08 18:45:00+00:00,4339.99,sl_hit,-106.3999999999942,-1.0,0.56
16,XAUUSD,bearish,fvg_retest,100.0,2026-06-08 22:15:00+00:00,4329.66,4341.57,4312.27,0.09,2026-06-09 06:15:00+00:00,4341.57,sl_hit,-107.18999999999869,-1.0,0.63
17,XAUUSD,bearish,fvg_retest,85.0,2026-06-09 06:30:00+00:00,4336.45,4341.57,4329.195,0.2,2026-06-09 06:45:00+00:00,4341.57,sl_hit,-102.39999999999783,-1.0,1.4000000000000001
18,XAUUSD,bearish,fvg_retest,85.0,2026-06-09 07:00:00+00:00,4336.45,4341.57,4329.295,0.2,2026-06-09 07:15:00+00:00,4329.295,tp_hit,143.0999999999949,1.39746093749998,1.4000000000000001
19,XAUUSD,bearish,fvg_retest,85.0,2026-06-09 07:30:00+00:00,4330.27,4334.66,4324.16,0.24,2026-06-09 08:00:00+00:00,4334.66,sl_hit,-105.35999999998602,-1.0,1.68
20,XAUUSD,bearish,fvg_retest,85.0,2026-06-09 16:45:00+00:00,4329.96,4338.3,4318.125,0.12,2026-06-09 16:45:00+00:00,4338.3,sl_hit,-100.08000000000175,-1.0,0.84
21,XAUUSD,bearish,fvg_retest,85.0,2026-06-09 17:00:00+00:00,4328.55,4338.3,4314.75,0.1,2026-06-09 17:15:00+00:00,4314.75,tp_hit,138.00000000000182,1.4153846153846341,0.7000000000000001
22,XAUUSD,bearish,fvg_retest,85.0,2026-06-09 17:30:00+00:00,4317.99,4326.68,4305.705,0.12,2026-06-09 17:30:00+00:00,4305.705,tp_hit,147.41999999999825,1.4136939010355736,0.84
23,XAUUSD,bearish,fvg_retest,85.0,2026-06-09 18:15:00+00:00,4294.62,4306.26,4277.76,0.09,2026-06-09 18:15:00+00:00,4277.76,tp_hit,151.73999999999705,1.4484536082473538,0.63
24,XAUUSD,bearish,fvg_retest,85.0,2026-06-09 19:00:00+00:00,4272.150000000001,4289.79,4246.015,0.06,2026-06-09 19:30:00+00:00,4246.015,tp_hit,156.81000000000128,1.4815759637188821,0.42
25,XAUUSD,bearish,fvg_retest,85.0,2026-06-09 19:45:00+00:00,4244.53,4272.48,4203.23,0.04,2026-06-09 21:15:00+00:00,4272.48,sl_hit,-111.79999999999927,-1.0,0.28
26,XAUUSD,bearish,fvg_retest,65.0,2026-06-09 21:45:00+00:00,4264.18,4272.48,4252.105,0.13,2026-06-09 22:30:00+00:00,4252.105,tp_hit,156.97500000000946,1.454819277108649,0.91
27,XAUUSD,bearish,fvg_retest,65.0,2026-06-09 22:45:00+00:00,4250.81,4262.54,4233.565,0.09,2026-06-10 01:45:00+00:00,4233.565,tp_hit,155.20500000000717,1.470161977834735,0.63
28,XAUUSD,bearish,fvg_retest,65.0,2026-06-10 02:45:00+00:00,4218.35,4235.81,4192.685,0.06,2026-06-10 04:00:00+00:00,4192.685,tp_hit,153.98999999999978,1.469931271477658,0.42
29,XAUUSD,bearish,fvg_retest,65.0,2026-06-10 07:45:00+00:00,4173.3,4180.84,4162.49,0.15,2026-06-10 08:15:00+00:00,4180.84,sl_hit,-113.09999999999944,-1.0,1.05
30,XAUUSD,bearish,fvg_retest,85.0,2026-06-10 11:45:00+00:00,4170.320000000001,4181.75,4153.675,0.1,2026-06-10 14:00:00+00:00,4153.675,tp_hit,166.4500000000044,1.4562554680666087,0.7000000000000001
31,XAUUSD,bearish,fvg_retest,80.0,2026-06-10 15:15:00+00:00,4136.05,4154.5,4108.875,0.06,2026-06-10 15:30:00+00:00,4154.5,sl_hit,-110.69999999999891,-1.0,0.42
32,XAUUSD,bearish,fvg_retest,100.0,2026-06-10 17:15:00+00:00,4174.070000000001,4181.75,4163.025,0.14,2026-06-10 17:15:00+00:00,4163.025,tp_hit,154.63000000001378,1.4381510416669103,0.9800000000000001
33,XAUUSD,bearish,fvg_retest,100.0,2026-06-10 17:45:00+00:00,4149.71,4170.47,4118.995,0.05,2026-06-10 17:45:00+00:00,4118.995,tp_hit,153.57500000000073,1.4795279383429587,0.35000000000000003
34,XAUUSD,bearish,fvg_retest,100.0,2026-06-10 18:00:00+00:00,4124.63,4159.75,4072.5,0.03,2026-06-10 23:00:00+00:00,4072.5,tp_hit,156.39000000000033,1.4843394077448824,0.21
35,XAUUSD,bearish,fvg_retest,80.0,2026-06-11 01:30:00+00:00,4044.55,4067.3,4010.975,0.05,2026-06-11 01:30:00+00:00,4067.3,sl_hit,-113.75,-1.0,0.35000000000000003
36,XAUUSD,bearish,fvg_retest,80.0,2026-06-11 03:00:00+00:00,4047.13,4067.3,4017.025,0.06,2026-06-11 03:15:00+00:00,4067.3,sl_hit,-121.02000000000044,-1.0,0.42
37,XAUUSD,bearish,fvg_retest,80.0,2026-06-11 05:30:00+00:00,4082.26,4098.19,4058.865,0.07,2026-06-11 05:30:00+00:00,4058.865,tp_hit,163.76500000000306,1.4686126804771718,0.49000000000000005
38,XAUUSD,bearish,fvg_retest,80.0,2026-06-11 07:30:00+00:00,4077.4500000000003,4089.5,4059.9,0.09,2026-06-11 08:30:00+00:00,4089.5,sl_hit,-108.44999999999754,-1.0,0.63
39,XAUUSD,bearish,fvg_retest,100.0,2026-06-11 12:00:00+00:00,4084.29,4097.39,4065.14,0.09,2026-06-11 15:15:00+00:00,4065.14,tp_hit,172.3500000000008,1.4618320610686686,0.63
40,XAUUSD,bearish,fvg_retest,100.0,2026-06-11 21:00:00+00:00,4151.64,4170.47,4123.82,0.06,2026-06-11 21:45:00+00:00,4170.47,sl_hit,-112.97999999999956,-1.0,0.42
41,XAUUSD,bearish,fvg_retest,85.0,2026-06-12 04:30:00+00:00,4180.7300000000005,4201.01,4150.81,0.06,2026-06-12 06:15:00+00:00,4201.01,sl_hit,-121.67999999999847,-1.0,0.42
42,XAUUSD,bearish,fvg_retest,85.0,2026-06-12 09:00:00+00:00,4173.070000000001,4185.17,4155.395,0.09,2026-06-12 09:00:00+00:00,4185.17,sl_hit,-108.89999999999509,-1.0,0.63
